id	name	role	category	level	image	lattesUrl	bioShort	highlights	disciplines
adriano-simoes	Prof. Dr. Adriano do Nascimento Simões	Coordenador & Líder do NEFP	coordenacao	Professor Associado IV & Bolsista Produtividade CNPq Nível 2	/images/team/adriano.png	http://lattes.cnpq.br/1895049701533568	Doutor em Fisiologia Vegetal (UFV/CEBAS-CSIC Espanha - Conceito CAPES 7). Ex-coordenador do Mestrado e Doutorado em Produção Vegetal (UAST/UFRPE). Editor Científico de periódicos de renome.	Bolsista de Produtividade em Pesquisa do CNPq - Nível 2; Doutorado em Ciências Agrárias / Fisiologia Vegetal pela Universidade Federal de Viçosa (UFV) com período sanduíche no CEBAS/CSIC (Espanha); Mestrado em Fisiologia Vegetal pela UFV / FAPEMIG; Graduação em Engenharia Agronômica pela UFERSA; Orientou mais de 22 mestres, 10 doutores e 5 pós-doutores; Autor de mais de 80 artigos científicos, capítulos de livros e trabalhos internacionais; Editor Científico da revista Horticultura Brasileira desde 2012, Editor de Área da revista Caatinga e revisor de periódicos de ponta; Ex-Presidente da Sociedade Científica do Semiárido Brasileiro (2018–2022)	Fisiologia Vegetal (Agronomia, Biologia, Zootecnia); Fisiologia de Plantas Adaptadas ao Semiárido (Pós-Graduação); Tecnologia Pós-Colheita e Métodos Laboratoriais
mayara-martim	Mayara Bernardo Tavares Martim	Doutoranda / Mestra em Produção Vegetal	doutorado	Mestranda em Produção Vegetal (UFRPE/FACEPE)	/images/team/mayara.jpg	http://lattes.cnpq.br/1861408621908918	Engenheira Agrônoma formada pela UFRPE/UAST e mestranda em Produção Vegetal, bolsista FACEPE. Foco na extração de mucilagem e filmes biopoliméricos de cactáceas.	Mestrado em Produção Vegetal (março/2024 – fevereiro/2026) na UFRPE/UAST, sob orientação do Prof. Dr. Adriano Simões; Bolsista da Fundação de Amparo à Ciência e Tecnologia de Pernambuco (FACEPE); Graduação em Engenharia Agronômica pela UFRPE/UAST (2017–2022); Técnica em Edificações pelo Instituto Federal do Sertão Pernambucano (IF-Sertão PE); Pesquisas em extração de mucilagem, manejo agronômico e síntese de materiais biodegradáveis para conservação de frutas	Fisiologia Pós-Colheita; Biopolímeros da Palma; Materiais Biodegradáveis
cristina-santos	Cristina Maria Ferreira dos Santos	Mestranda em Produção Vegetal	mestrado	Mestranda em Produção Vegetal (UFRPE/UAST)	/images/team/cristina.jpg	https://lattes.cnpq.br/2894911167703435	Engenheira Agrônoma (2025) e mestranda pelo PPGPV/UAST. Pesquisa alterações pós-colheita em pitaia no Semiárido e mitigação de estresses salino e hídrico.	Mestrado em Produção Vegetal (março/2026 – fevereiro/2028) na UFRPE/UAST; Orientador: Prof. Dr. Adriano do Nascimento Simões; Coorientadores: Prof. Dr. Alexandre Campelo de Oliveira e Dra. Valécia Nogueira Santos e Silva; Graduação em Agronomia pela UFRPE/UAST (2019–2025); Pesquisas sobre o efeito atenuador da adubação nitrogenada e molíbdica em plantas sob déficit hídrico e salinidade no Semiárido; Estudo do desenvolvimento e maturação fisiológica da pitaia	Fisiologia da Pitaia; Manejo de Estresses Ambientais; Conservação de Frutos
klayvert-carvalho	Klayvert Gabriel Alves Rodrigues de Carvalho	Graduando & Bolsista de Inovação Tecnológica (PIBITI)	graduacao	Graduando em Sistemas de Informação (UFRPE) & Bolsista PIBITI/CNPq	/images/team/klayvert.jpg	http://lattes.cnpq.br/1183920172672937	Bolsista de Iniciação Tecnológica (PIBITI/CNPq) no projeto PitayaQual. Desenvolvedor de software focado em Inteligência Artificial, visão computacional e aplicativos móveis.	Graduação em Sistemas de Informação pela Universidade Federal Rural de Pernambuco (UFRPE, desde 2021); Bolsista PIBITI/CNPq com o projeto PitayaQual: Plataforma Inteligente para Classificação Comercial e Apoio à Decisão na Pós-Colheita de Pitaia Vermelha; Orientador: Prof. Dr. Adriano do Nascimento Simões; Desenvolvedor de software com experiência profissional (NTIST 2023-2024 e Coflint OÜ 2025-2026); Atuação em treinamento de modelos de Machine Learning/Deep Learning, processamento digital de imagens e arquitetura web/mobile	Inteligência Artificial Aplicada à Agricultura; Visão Computacional; Desenvolvimento Web & Mobile
ivanice-santos	Dra. Ivanice da Silva Santos	Pesquisadora Colaboradora & Ex-Membro	ex-membros	Doutora em Fitotecnia (UFERSA / UAST / CAPES)	/images/team/ivanice.jpg	http://lattes.cnpq.br/3742941528834329	Doutoranda/Doutora em Fitotecnia (UFERSA) com período visitante na UAST/UFRPE (Bolsista CAPES). Mestre em Ciências Agrárias (UEPB), Tecnóloga em Agroecologia (IFPB) e Bióloga (UFCG).	Doutorado em Fitotecnia pela Universidade Federal Rural do Semi-Árido (UFERSA) com aluna visitante no PPGPV-UAST/UFRPE, orientada pelo Prof. Dr. Adriano Simões (Bolsista CAPES); Mestrado em Ciências Agrárias pela Universidade Estadual da Paraíba (UEPB, 2019–2021); Graduação em Tecnologia em Agroecologia pelo IFPB (2015–2018); Graduação em Ciências Biológicas pela Universidade Federal de Campina Grande (UFCG, 2009–2013); Especialização em Gestão dos Recursos Ambientais do Semiárido; Coautora de artigos de destaque em predição não destrutiva de cladódios de pitaia e fisiologia pós-colheita	Fisiologia de Cactáceas; Adubação Orgânica; Tecnologia Pós-Colheita
