title,program,period,leader,fellow,description,status,tags
PitayaQual: Plataforma Inteligente para Classificação Comercial e Apoio à Decisão na Pós-Colheita de Pitaia Vermelha,PIBITI / CNPq - Iniciação Tecnológica & Inovação,2024 - 2026,Prof. Dr. Adriano do Nascimento Simões,Klayvert Gabriel Alves Rodrigues de Carvalho,"Desenvolvimento de aplicativo móvel e modelos de inteligência artificial treinados para estimar peso, volume, calibre e maturação de cladódios e frutos de pitaia de forma não invasiva.",Em Andamento,"IA; Visão Computacional; Pitaia; App Mobile"
Consolidação de Tecnologias Voltadas à Indústria de Alimentos no Sertão do Pajeú,BEXT - Bolsa de Extensão e Desenvolvimento Tecnológico,2020 - 2022,Prof. Dr. Adriano do Nascimento Simões,,Transferência de conhecimento científico e bioprocessos para produtores e agroindústrias locais da região do Pajeú em Pernambuco.,Concluído com Sucesso,"Extensão; Agroindústria; Sertão do Pajeú; Capacitação"
