id,name,fullName,logo,description
facepe,FACEPE,Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco,/images/partners/facepe.png,Financiamento de projetos de pesquisa científica e bolsas de mestrado e doutorado para o desenvolvimento do Sertão pernambucano.
cnpq,CNPq,Conselho Nacional de Desenvolvimento Científico e Tecnológico,/images/partners/cnpq.png,"Apoio contínuo à pesquisa com bolsas de produtividade em pesquisa, editais universais e iniciação tecnológica (PIBITI)."
capes,CAPES,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,/images/partners/capes.jpg,Fomento aos cursos de Pós-Graduação em Produção Vegetal (PPGPV) da UFRPE/UAST e bolsas de formação de mestres e doutores.
ufrpe,UFRPE / UAST,Universidade Federal Rural de Pernambuco - Unidade Acadêmica de Serra Talhada,/images/partners/ufrpe.png,"Instituição sede que fornece infraestrutura laboratorial, apoio administrativo e espaço físico para as atividades do NEFP."
